trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
153,False,"{'a': 0.5, 'e': 0.6314794494841262}",30,0,-54.9469633812954,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.6295850111356738}",20,1,-31.83476266584771,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.6276962561022668}",25,4,-26.14597406861841,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.62581316733396}",30,0,0.3684812893624603,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.623935727831958}",25,5,-77.93778527959641,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",1
158,False,"{'a': 0.5, 'e': 0.6220639206484622}",25,0,-25.86954131269384,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.6201977288865168}",30,1,-130.39114602297894,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.6183371356998573}",20,8,-20.75115774219303,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.6164821242927577}",20,1,-43.40540951359767,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.6146326779198794}",20,3,9.42704321725546,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.6127887798861198}",20,6,-19.36225705440243,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.6109504135464614}",20,0,-86.18585338273806,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.609117562305822}",25,3,-0.6393736907288594,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.6072902096189046}",25,0,-41.77893523183761,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.6054683389900478}",25,7,-84.83945639198768,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
168,False,"{'a': 0.5, 'e': 0.6036519339730777}",35,0,-33.80703839681938,"{0: 29, 1: 1, 2: 3, 3: 2, 4: 0}",0
